Название карты;Ссылка на продукт;Банк;Изображение карты
Дебетовая карта «Райфкарта»;https://minfin.com.ua//cards/12760-1-aval/;Райффайзен Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062ec5587a38.png
Кредитная карта «Unex Card»;https://minfin.com.ua//cards/5360-40-unexbank/;Юнекс Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e04bd336f3f6.png
Кредитная карта «Monobank»;https://minfin.com.ua//cards/306-72-monobank/;monobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcb23447aa.png
Кредитная карта «Зелена»;https://minfin.com.ua//cards/3492-22-a-bank/;А-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f898884ee4dc.png
Кредитная карта «Card Blanche Blue»;https://minfin.com.ua//cards/58-10-ideabank/;Идея Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabe66c5d.png
Кредитная карта «Сaméléon»;https://minfin.com.ua//cards/13435-3-alfa-bank/;Альфа-Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/61151d20c36b8.png
Кредитная карта «Эко-кредитка»;https://minfin.com.ua//cards/4986-5-ukrgasbank/;Укргазбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5e32bf9a865b7.png
Кредитная карта «Freecard gold»;https://minfin.com.ua//cards/77-7-credit-dnepr/;Банк Кредит Днепр;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5c6465e8dc067.png
Кредитная карта «Коко Кард»;https://minfin.com.ua//cards/3795-21-forward-bank/;Форвард Банк (Forward Bank);https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5d8cabd309589.png
Кредитная карта «ВсеМожу»;https://minfin.com.ua//cards/12-9-pumb/;ПУМБ;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dca79294bc.png
Кредитная карта «Большая пятерка»;https://minfin.com.ua//cards/59-15-taskombank/;Таскомбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5a5dcabf5f6e7.png
Кредитная карта «Benefit New»;https://minfin.com.ua//cards/12391-119-marfinbank/;МТБ Банк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fe1bc2dbfe04.png
Кредитная карта «Платинум Премиум +»;https://minfin.com.ua//cards/12323-97-ukrstroyinvestbank/;Укрстройинвестбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5fc6313fa40a6.png
Кредитная карта «Универсальная»;https://minfin.com.ua//cards/14-4-privatbank/;Приватбанк;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/5f0d92b073a4f.png
Кредитная карта «Neocard»;https://minfin.com.ua//cards/13983-401-neobank/;Neobank;https://minfin.com.ua/finua-assets/media/cache/credit_card_200/product/0/619ba9e66ebb5.png
Дебетовая карта «Classic»;https://minfin.com.ua//cards/12817-32-iboxbank/;Айбокс Банк (АгроКомБанк);https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/606ec3691107b.png
Дебетовая карта «Универсальная»;https://minfin.com.ua//cards/12822-34-bis/;Банк инвестиций и сбережений;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/6062223d1b606.png
Дебетовая карта «Ощадна»;https://minfin.com.ua//cards/12854-26-globus/;Глобус;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60c89d4b26417.png
Дебетовая карта «Сберегательная карта»;https://minfin.com.ua//cards/12329-76-agroprosperis-bank/;Агропросперис Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/5fd8adda8352d.png
Дебетовая карта «VIP World»;https://minfin.com.ua//cards/12339-115-rwsbank/;РВС Банк;https://minfin.com.ua/finua-assets/media/cache/debit_card_200/product/5/60891b16e16fb.png
